Date;Time of day;Total (grid load)[MWh]
Nov 7, 2021;12:00 AM;12,315
Nov 7, 2021;12:15 AM;12,212
Nov 7, 2021;12:30 AM;12,191
Nov 7, 2021;12:45 AM;12,029
Nov 7, 2021;1:00 AM;12,003
Nov 7, 2021;1:15 AM;11,726
Nov 7, 2021;1:30 AM;11,635
Nov 7, 2021;1:45 AM;11,640
Nov 7, 2021;2:00 AM;11,607
Nov 7, 2021;2:15 AM;11,486
Nov 7, 2021;2:30 AM;11,439
Nov 7, 2021;2:45 AM;11,450
Nov 7, 2021;3:00 AM;11,530
Nov 7, 2021;3:15 AM;11,476
Nov 7, 2021;3:30 AM;11,458
Nov 7, 2021;3:45 AM;11,488
Nov 7, 2021;4:00 AM;11,566
Nov 7, 2021;4:15 AM;11,572
Nov 7, 2021;4:30 AM;11,705
Nov 7, 2021;4:45 AM;11,646
Nov 7, 2021;5:00 AM;11,605
Nov 7, 2021;5:15 AM;11,589
Nov 7, 2021;5:30 AM;11,611
Nov 7, 2021;5:45 AM;11,593
Nov 7, 2021;6:00 AM;11,605
Nov 7, 2021;6:15 AM;11,659
Nov 7, 2021;6:30 AM;11,817
Nov 7, 2021;6:45 AM;11,899
Nov 7, 2021;7:00 AM;12,155
Nov 7, 2021;7:15 AM;12,199
Nov 7, 2021;7:30 AM;12,258
Nov 7, 2021;7:45 AM;12,409
Nov 7, 2021;8:00 AM;12,576
Nov 7, 2021;8:15 AM;12,793
Nov 7, 2021;8:30 AM;12,993
Nov 7, 2021;8:45 AM;13,221
Nov 7, 2021;9:00 AM;13,441
Nov 7, 2021;9:15 AM;13,757
Nov 7, 2021;9:30 AM;13,880
Nov 7, 2021;9:45 AM;13,978
Nov 7, 2021;10:00 AM;14,174
Nov 7, 2021;10:15 AM;14,317
Nov 7, 2021;10:30 AM;14,452
Nov 7, 2021;10:45 AM;14,640
Nov 7, 2021;11:00 AM;14,862
Nov 7, 2021;11:15 AM;14,980
Nov 7, 2021;11:30 AM;15,005
Nov 7, 2021;11:45 AM;15,040
Nov 7, 2021;12:00 PM;15,051
Nov 7, 2021;12:15 PM;14,975
Nov 7, 2021;12:30 PM;14,889
Nov 7, 2021;12:45 PM;14,685
Nov 7, 2021;1:00 PM;14,514
Nov 7, 2021;1:15 PM;14,317
Nov 7, 2021;1:30 PM;14,196
Nov 7, 2021;1:45 PM;14,049
Nov 7, 2021;2:00 PM;14,068
Nov 7, 2021;2:15 PM;13,933
Nov 7, 2021;2:30 PM;13,838
Nov 7, 2021;2:45 PM;13,782
Nov 7, 2021;3:00 PM;13,864
Nov 7, 2021;3:15 PM;13,819
Nov 7, 2021;3:30 PM;13,783
Nov 7, 2021;3:45 PM;13,832
Nov 7, 2021;4:00 PM;13,909
Nov 7, 2021;4:15 PM;13,986
Nov 7, 2021;4:30 PM;14,173
Nov 7, 2021;4:45 PM;14,348
Nov 7, 2021;5:00 PM;14,731
Nov 7, 2021;5:15 PM;15,024
Nov 7, 2021;5:30 PM;15,141
Nov 7, 2021;5:45 PM;15,160
Nov 7, 2021;6:00 PM;15,317
Nov 7, 2021;6:15 PM;15,346
Nov 7, 2021;6:30 PM;15,241
Nov 7, 2021;6:45 PM;15,108
Nov 7, 2021;7:00 PM;15,105
Nov 7, 2021;7:15 PM;15,006
Nov 7, 2021;7:30 PM;14,866
Nov 7, 2021;7:45 PM;14,655
Nov 7, 2021;8:00 PM;14,525
Nov 7, 2021;8:15 PM;14,341
Nov 7, 2021;8:30 PM;14,177
Nov 7, 2021;8:45 PM;13,945
Nov 7, 2021;9:00 PM;13,821
Nov 7, 2021;9:15 PM;13,735
Nov 7, 2021;9:30 PM;13,599
Nov 7, 2021;9:45 PM;13,624
Nov 7, 2021;10:00 PM;13,699
Nov 7, 2021;10:15 PM;13,525
Nov 7, 2021;10:30 PM;13,322
Nov 7, 2021;10:45 PM;13,162
Nov 7, 2021;11:00 PM;12,990
Nov 7, 2021;11:15 PM;12,765
Nov 7, 2021;11:30 PM;12,681
Nov 7, 2021;11:45 PM;12,477
