Date;Time of day;Total (grid load)[MWh]
Nov 7, 2021;12:00 AM;11,727
Nov 7, 2021;12:15 AM;11,588
Nov 7, 2021;12:30 AM;11,456
Nov 7, 2021;12:45 AM;11,314
Nov 7, 2021;1:00 AM;11,163
Nov 7, 2021;1:15 AM;11,069
Nov 7, 2021;1:30 AM;10,997
Nov 7, 2021;1:45 AM;10,917
Nov 7, 2021;2:00 AM;10,758
Nov 7, 2021;2:15 AM;10,725
Nov 7, 2021;2:30 AM;10,666
Nov 7, 2021;2:45 AM;10,691
Nov 7, 2021;3:00 AM;10,672
Nov 7, 2021;3:15 AM;10,616
Nov 7, 2021;3:30 AM;10,601
Nov 7, 2021;3:45 AM;10,602
Nov 7, 2021;4:00 AM;10,599
Nov 7, 2021;4:15 AM;10,610
Nov 7, 2021;4:30 AM;10,576
Nov 7, 2021;4:45 AM;10,610
Nov 7, 2021;5:00 AM;10,737
Nov 7, 2021;5:15 AM;10,696
Nov 7, 2021;5:30 AM;10,754
Nov 7, 2021;5:45 AM;10,781
Nov 7, 2021;6:00 AM;10,815
Nov 7, 2021;6:15 AM;10,982
Nov 7, 2021;6:30 AM;11,041
Nov 7, 2021;6:45 AM;11,137
Nov 7, 2021;7:00 AM;11,217
Nov 7, 2021;7:15 AM;11,286
Nov 7, 2021;7:30 AM;11,438
Nov 7, 2021;7:45 AM;11,639
Nov 7, 2021;8:00 AM;11,911
Nov 7, 2021;8:15 AM;12,142
Nov 7, 2021;8:30 AM;12,332
Nov 7, 2021;8:45 AM;12,576
Nov 7, 2021;9:00 AM;12,783
Nov 7, 2021;9:15 AM;13,014
Nov 7, 2021;9:30 AM;13,225
Nov 7, 2021;9:45 AM;13,392
Nov 7, 2021;10:00 AM;13,541
Nov 7, 2021;10:15 AM;13,614
Nov 7, 2021;10:30 AM;13,696
Nov 7, 2021;10:45 AM;13,847
Nov 7, 2021;11:00 AM;13,976
Nov 7, 2021;11:15 AM;14,127
Nov 7, 2021;11:30 AM;14,235
Nov 7, 2021;11:45 AM;14,209
Nov 7, 2021;12:00 PM;14,154
Nov 7, 2021;12:15 PM;14,087
Nov 7, 2021;12:30 PM;14,006
Nov 7, 2021;12:45 PM;13,936
Nov 7, 2021;1:00 PM;13,792
Nov 7, 2021;1:15 PM;13,677
Nov 7, 2021;1:30 PM;13,638
Nov 7, 2021;1:45 PM;13,577
Nov 7, 2021;2:00 PM;13,517
Nov 7, 2021;2:15 PM;13,358
Nov 7, 2021;2:30 PM;13,296
Nov 7, 2021;2:45 PM;13,224
Nov 7, 2021;3:00 PM;13,188
Nov 7, 2021;3:15 PM;13,103
Nov 7, 2021;3:30 PM;12,994
Nov 7, 2021;3:45 PM;12,941
Nov 7, 2021;4:00 PM;13,065
Nov 7, 2021;4:15 PM;13,210
Nov 7, 2021;4:30 PM;13,448
Nov 7, 2021;4:45 PM;13,708
Nov 7, 2021;5:00 PM;14,146
Nov 7, 2021;5:15 PM;14,317
Nov 7, 2021;5:30 PM;14,541
Nov 7, 2021;5:45 PM;14,654
Nov 7, 2021;6:00 PM;14,745
Nov 7, 2021;6:15 PM;14,811
Nov 7, 2021;6:30 PM;14,794
Nov 7, 2021;6:45 PM;14,676
Nov 7, 2021;7:00 PM;14,605
Nov 7, 2021;7:15 PM;14,363
Nov 7, 2021;7:30 PM;14,250
Nov 7, 2021;7:45 PM;14,172
Nov 7, 2021;8:00 PM;14,046
Nov 7, 2021;8:15 PM;13,942
Nov 7, 2021;8:30 PM;13,793
Nov 7, 2021;8:45 PM;13,651
Nov 7, 2021;9:00 PM;13,579
Nov 7, 2021;9:15 PM;13,433
Nov 7, 2021;9:30 PM;13,446
Nov 7, 2021;9:45 PM;13,458
Nov 7, 2021;10:00 PM;13,446
Nov 7, 2021;10:15 PM;13,405
Nov 7, 2021;10:30 PM;13,208
Nov 7, 2021;10:45 PM;13,057
Nov 7, 2021;11:00 PM;12,786
Nov 7, 2021;11:15 PM;12,590
Nov 7, 2021;11:30 PM;12,495
Nov 7, 2021;11:45 PM;12,391
